MH2,MH3,MH5,SAP,SSN,DESCRIPTION,Sales Quantity,Online Sales Quantity,% Online Sales,Gross Sales,Margin %,Total Stock ,DC Stock ,Total Wks Cover,DC Cover
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1122386,22Q1,Asics Gel-Kayano 28 Men Run Blk/Clay Gry,15,,0.00%,"2,646",50.60%,259,111,17.27,7.4
GAELIC,GAA_REPLICA,MAY_TK,1113642,GAATK,O'Neills Mayo 21 Home Kids Jersey Green,51,5,9.80%,"2,641",0.420103788,1014,562,19.88,11.02
RUGBY,RUGBY_REPLICA,RIRE_LW,1118097,21Q3,Canterbury IRFU 21 Kids QZ Top Green,75,4,5.33%,"2,629",34.90%,1262,826,16.83,11.01
BAG_CAP_SCARF,BAGS,BAG_M_HDA,1123361,CORE,Nike Brasilia 9.5 Duffel Bag Small Black,88,,0.00%,"2,609",50.20%,288,98,3.27,1.11
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1122317,22Q1,Asics GT-1000 11 Jnr Boy Run Black/Green,54,10,18.52%,"2,593",48.90%,577,399,10.69,7.39
FOOTWEAR_GIRLS,JNR_GIRLS_FW,JNRGIRLFW,1123700,22Q2,adidas Breaknet Jnr Girls White/Pink,91,15,16.48%,"2,584",40.40%,841,375,9.24,4.12
FOOTWEAR_BOYS,JNR_BOYS_FW,JNRBOYSFW,1124359,22Q2,Skechers Flex Glow Elite Jnr Boy Fw Blue,65,,0.00%,"2,563",44.50%,1435,802,22.08,12.34
FOOTWEAR_WOMEN,WOMEN_STYLE_FW,LDSSTYLFW,1118590,21Q4,Skechers Skech-Air Dynamight Wms Fw Blk,49,8,16.33%,"2,549",46.70%,1476,426,30.12,8.69
APPAREL_BOYS,BOYS_TRAIN_APP,B_1\/2_ZT,1123337,22Q1,Nike Kids DF ACD21 Drill Top Blue,80,3,3.75%,"2,549",51.30%,381,103,4.76,1.29
FOOTWEAR_GIRLS,KIDS_GIRLS_FW,KGSFWRUN,1123374,22Q1,Nike Revolution 6 Kid Girl Fw Black/Gold,91,26,28.57%,"2,542",36.00%,332,50,3.65,0.55
SOCCER,SOCCER_REPLICA,SIRE_TD,1118369,21Q4,Umbro FAI 21 Away Kids Jersey Orange,45,8,17.78%,"2,522",38.90%,715,415,15.89,9.22
RUGBY,RUGBY_REPLICA,RIRE_LW,1118133,21Q3,Canterbury IRFU Eco Poly Kids Tee Green,159,15,9.43%,"2,521",2.50%,860,315,5.41,1.98
APPAREL_WOMEN,WOMEN_RUN_APP,ATH_W_LST,1123176,22Q1,Nike Wmns DF Element Top HZ Pink,46,3,6.52%,"2,508",50.00%,780,462,16.96,10.04
RUGBY,RUGBY_REPLICA,RIRE_LW,1118090,21Q3,Canterbury IRFU 21 Thermoreg Hoodie Grey,56,6,10.71%,"2,498",27.30%,473,239,8.45,4.27
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1115896,22Q1,Asics Gel-Kayano 28 Mens Run Black/White,14,5,35.71%,"2,493",51.10%,164,65,11.71,4.64
FOOTWEAR_MEN,MEN_PERF_FW,MENSRUNFW,1120268,21Q4,Nike Air Zoom Pegasus38 Shld Mens Fw Blk,24,4,16.67%,"2,470",39.00%,381,40,15.88,1.67
APPAREL_GIRLS,GIRL_TRAIN_APP,G_FL_JP,1107023,CORE,Nike Sw Favorite GX Girls Legging Black,215,31,14.42%,"2,464",19.80%,1418,788,6.6,3.67
APPAREL_MEN,MEN_RUN_APP,ATH_M_SHT,1117086,22Q1,Nike Mens DF Challenger Short 7 Black,71,5,7.04%,"2,451",56.20%,823,457,11.59,6.44
APPAREL_MEN,MEN_TRAIN_APP,M_WVN_JP,1111640,CORE,Nike Mens Dry ACD21 Pant Black,62,8,12.90%,"2,444",49.50%,1237,678,19.95,10.94
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,1067381,CORE,O'Neills Gel Mouthguard Junior Red/Wht,174,10,5.75%,"2,430",52.00%,393,43,2.26,0.25
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1122847,22Q1C,Umbro Rapture Kids FG Boots Pink,94,,0.00%,"2,421",47.30%,868,311,9.23,3.31
FOOTWEAR_GIRLS,JNR_GIRLS_FW,JNRGIRLFW,1122313,22Q1,Asics GT-1000 11 Jnr Girl Run Purple/Pnk,53,5,9.43%,"2,413",46.10%,907,580,17.11,10.94
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1115968,21Q4,Asics Gel- Excite 8 Wmns Run Rose/Bronze,31,7,22.58%,"2,411",50.20%,244,62,7.87,2
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,5977000,CORE,Shock Doctor V2 Gel Max Black,101,,0.00%,"2,407",49.40%,1074,392,10.63,3.88
KEEPFIT,KEEP_FIT_WEIGHT,KPFTGYMS,1115547,21/22,Proform Power Stack XT Black,5,5,100.00%,"2,376",32.30%,103,102,20.6,20.4
KEEPFIT,SUPPLEMENTS,POWDERS,1114282,NOOS,ON Gold Standard 100% Whey 908g Tub,84,7,8.33%,"2,371",26.40%,353,181,4.2,2.15
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1111813,CORE,Nike Wmns Pro 365 Tight Black,54,0,0.00%,"2,368",53.60%,1169,713,21.65,13.2
RUGBY,RUGBY_REPLICA,RIRE_LW,1118103,21Q3,Canterbury IRFU 21 Softshell Jacket Grey,47,10,21.28%,"2,356",22.90%,465,228,9.89,4.85
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1122348,22Q1,Asics Gel-Cumulus 23 MK Womens Run Pink,20,4,20.00%,"2,344",43.00%,736,243,36.8,12.15
SOCCER,SOCCER_REPLICA,MUFC_TK,1117533,21Q3,adidas Man Utd FC 21 Kid Home Jersey Red,52,16,30.77%,"2,343",25.00%,444,255,8.54,4.9
FOOTWEAR_WOMEN,WOMEN_PERF_FW,LDSRUNFW,1120210,21Q4,Nike Winflo 8 Shield Wmn Fw Black/Violet,26,2,7.69%,"2,339",41.10%,913,461,35.12,17.73
SOCKS,SOCKS1,SOC_M_INL,1046055,CORE,Nike Cushion Quarter 3 Pack Socks White,198,3,1.52%,"2,333",50.80%,1923,1386,9.71,7
GAELIC,GAA_CORE_STOCK,GAA_GLOVE,1056991,CORE,Karakal GAA Adult Glove Black/Yellow,194,3,1.55%,"2,317",61.90%,519,72,2.68,0.37
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1123986,22Q2,Puma Flyer Flex Mens Fw Navy/White,58,5,8.62%,"2,316",44.90%,1148,629,19.79,10.84
KEEPFIT,KPF_MACHINE,KPFTTREAD,1111093,21/22,ProForm 205 CST Treadmill Black,4,4,100.00%,"2,316",40.30%,161,130,40.25,32.5
FOOTWEAR_GIRLS,INF_GIRLS_FW,INFGIRLFW,1104023,CORE,Nike Court Borough Low 2 SE Infant White,90,33,36.67%,"2,304",48.30%,1030,537,11.44,5.97
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1123987,22Q2,Puma Flyer Flex Mens Fw Grey/White,57,3,5.26%,"2,281",45.10%,649,133,11.39,2.33
GAELIC,GAA_CORE_STOCK,GAA_HURLY,1124549,ESS,"Reydon Murphys Wexford Hurley 26""Mult",91,3,3.30%,"2,265",44.90%,276,156,3.03,1.71
APPAREL_GIRLS,GIRL_TRAIN_APP,G_TIGHT,1111291,22Q1,Nike Girls Pro Tight Grey,81,1,1.23%,"2,264",53.10%,776,381,9.58,4.7
SOCCER,SCR_CORE_PROD,SCR_BALL,1117666,ESS,adidas TIRO CLB Yellow,170,3,1.76%,"2,262",48.70%,612,134,3.6,0.79
RUGBY,RUG_CORE_STOCK,RUG_GUMSH,24218001,CORE,Shock Doctor V1.5 White/Black,227,,0.00%,"2,248",47.80%,1187,540,5.23,2.38
SOCCER,SOCCER_REPLICA,MUFC_TK,1117529,21Q3,adidas Man Utd FC 21 Home Jersey Red,45,18,40.00%,"2,240",3.60%,1273,1105,28.29,24.56
FOOTWEAR_BOYS,KIDS_BOYS_FW,KIDBOYSFW,1106804,21Q4,Nike Air Max Excee Boys Fw Blk/White/Gry,34,2,5.88%,"2,240",39.80%,714,76,21,2.24
SWIM,SWIMWEAR,SW_LSW,1124176,22Q1,SPEEDO Plastisol Laneback Black,48,3,6.25%,"2,240",49.60%,364,37,7.58,0.77
RUGBY,RUGBY_REPLICA,RIRE_LW,1118138,21Q3,Canterbury IRFU 21 Logo Crew Grey,64,11,17.19%,"2,236",32.10%,1061,542,16.58,8.47
GAELIC,GAA_REPLICA,KER_TK,1131314,GAATK,O'Neills Kerry 22 Home Kids Jersey Grn,40,9,22.50%,"2,233",41.60%,457,229,11.43,5.73
SOCCER,SOCCER_REPLICA,SIRE_TD,1124502,22Q1,Umbro FAI 22 Home Baby Kit Green,44,7,15.91%,"2,225",45.90%,781,468,17.75,10.64
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1125655,22Q1,Adidas PREDATOR EDGE.3 FG J Black,45,4,8.89%,"2,208",47.70%,294,106,6.53,2.36
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_J_FBB,1125700,22Q1,PUMA Tacto II FG/AG Jr Pink,83,27,32.53%,"2,185",52.70%,335,167,4.04,2.01
APPAREL_BOYS,BOYS_TRAIN_APP,B_WVN_JP,1120153,21Q4,Nike Kids TF Acd Pant Blue,81,6,7.41%,"2,177",18.90%,504,105,6.22,1.3
FOOTBALL_BOOT,SCR_FOOTWEAR,SCR_K_FBB,1117650,22Q2,adidas X Speedflow.3 FG Kids Black,48,5,10.42%,"2,159",47.90%,310,111,6.46,2.31
RUGBY,RUGBY_REPLICA,CON_ACC,1119862,21Q3,New Era Connacht Cuff Knit Bobble Green,72,2,2.78%,"2,142",42.10%,316,194,4.39,2.69
FOOTWEAR_MEN,MEN_STYLE_FW,MENSSTYFW,1117353,22Q2,Puma Caven Mens Fw White,36,2,5.56%,"2,142",52.40%,702,272,19.5,7.56
FOOTWEAR_MEN,MEN_PERF_FW,MENSTRLFW,1115932,22Q1,Asics Gel-Venture 8 Mens Run Black/White,31,8,25.81%,"2,141",48.00%,432,60,13.94,1.94
APPAREL_WOMEN,WOMEN_TRAIN_APP,L_TIGHTS,1112679,CORE,UA Wmns HG Armour HiRise Tight Black,44,5,11.36%,"2,141",49.20%,806,436,18.32,9.91
GAELIC,GAA_REPLICA,WFD_TK,1129494,GAATK,Azzurri Waterford 22 GK Home Jersey Wht,33,4,12.12%,"2,129",43.40%,225,194,6.82,5.88
